time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-02-01T00:00:00Z,51,51,,87,87,,,,,35.3,35.2,35.4
2024-03-01T00:00:00Z,53,53,,84,84,,,,,32.2,32,32.4
2024-04-01T00:00:00Z,55,55,,80,80,,,,,38.9,38.5,39.4
2024-05-01T00:00:00Z,61,61,,74,74,,,,,51.4,50.8,51.9
2024-07-01T00:00:00Z,67,67,,67,67,,,,,52.9,52.7,53
2024-08-01T00:00:00Z,52,52,,78,78,,,,,52.4,52,52.8
2024-10-01T00:00:00Z,47,47,,81,81,,,,,19.8,19.2,20.5
2024-12-01T00:00:00Z,56,56,,76,76,,,,,36.5,36.1,36.9
2025-01-01T00:00:00Z,52,52,,83,83,,,,,32.8,32,33.6
2025-02-01T00:00:00Z,53,53,,84,84,,,,,32.5,31.6,33.5
2025-03-01T00:00:00Z,52,52,,83,83,,,,,31.5,30.3,32.7
2025-04-01T00:00:00Z,55,55,,78,78,,,,,39.9,38.1,41.6
2025-05-01T00:00:00Z,58,58,,74,74,,,,,50.4,48.7,52.2
2025-09-01T00:00:00Z,60,60,,70,70,,,,,46.7,44.9,48.4
2025-10-01T00:00:00Z,59,59,,72,72,,,,,43.3,41.3,45.2
2025-11-01T00:00:00Z,57,57,,73,73,,,,,40.3,37.9,42.7
2025-12-01T00:00:00Z,57,57,,76,76,,,,,42.3,40,44.6
