time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2023-07-01T00:00:00Z,57,57,,76,76,,,,,39,37.9,40
2023-08-01T00:00:00Z,58,58,,76,76,,,,,44.7,43.6,45.9
2023-09-01T00:00:00Z,61,61,,74,74,,,,,43.2,42,44.4
2023-10-01T00:00:00Z,59,59,,76,76,,,,,44.9,44,45.8
2023-11-01T00:00:00Z,57,57,,77,77,,,,,39.9,39.4,40.4
2023-12-01T00:00:00Z,54,54,,81,81,,,,,35.4,35.3,35.6
2024-01-01T00:00:00Z,52,52,,85,85,,,,,24.6,24.3,24.9
2024-02-01T00:00:00Z,49,49,,88,88,,,,,20.4,20.6,20.2
2024-03-01T00:00:00Z,50,50,,87,87,,,,,23.4,23.9,22.8
2024-04-01T00:00:00Z,52,52,,83,83,,,,,29.8,30.4,29.2
2024-05-01T00:00:00Z,60,60,,74,74,,,,,54.5,55,54
2024-06-01T00:00:00Z,62,62,,70,70,,,,,60.9,60.8,61
2024-07-01T00:00:00Z,62,62,,69,69,,,,,56,56,56
2024-08-01T00:00:00Z,62,62,,68,68,,,,,53.9,53.3,54.5
2024-09-01T00:00:00Z,61,61,,70,70,,,,,48.8,48.6,49.1
2024-10-01T00:00:00Z,57,57,,74,74,,,,,39.3,38.7,39.8
2024-11-01T00:00:00Z,56,56,,76,76,,,,,32.1,31.1,33.1
2024-12-01T00:00:00Z,54,54,,79,79,,,,,29.8,29.9,29.6
2025-01-01T00:00:00Z,53,53,,82,82,,,,,24,24.1,23.8
2025-02-01T00:00:00Z,53,53,,86,86,,,,,22.7,22.1,23.2
2025-03-01T00:00:00Z,50,50,,86,86,,,,,20.4,19.4,21.5
2025-04-01T00:00:00Z,52,52,,82,82,,,,,24.3,23.6,25
2025-05-01T00:00:00Z,57,57,,76,76,,,,,40,40.9,39
2025-06-01T00:00:00Z,64,64,,71,71,,,,,38.5,36.6,40.4
2025-07-01T00:00:00Z,61,61,,71,71,,,,,41,39,43.1
2025-08-01T00:00:00Z,60,60,,70,70,,,,,36.2,35.4,37
2025-09-01T00:00:00Z,59,59,,71,71,,,,,35.8,36,35.6
2025-10-01T00:00:00Z,55,55,,75,75,,,,,31.7,31.8,31.6
2025-11-01T00:00:00Z,58,58,,75,75,,,,,32.6,33.8,31.5
2025-12-01T00:00:00Z,58,58,,77,77,,,,,31.8,30.6,33.1
