time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2023-07-01T00:00:00Z,57,57,,76,76,,,,,44.7,45.8,43.6
2023-08-01T00:00:00Z,57,57,,76,76,,,,,48.8,50.2,47.4
2023-09-01T00:00:00Z,61,61,,74,74,,,,,48.5,49.6,47.3
2023-10-01T00:00:00Z,59,59,,76,76,,,,,50.3,51.4,49.2
2023-11-01T00:00:00Z,58,58,,76,76,,,,,44.4,45.5,43.4
2023-12-01T00:00:00Z,55,55,,80,80,,,,,40.6,41.4,39.8
2024-01-01T00:00:00Z,53,53,,84,84,,,,,30.2,30.5,29.9
2024-02-01T00:00:00Z,50,50,,87,87,,,,,27.4,28.1,26.7
2024-03-01T00:00:00Z,51,51,,86,86,,,,,29.7,30.4,28.9
2024-04-01T00:00:00Z,52,52,,83,83,,,,,35.6,34.9,36.4
2024-05-01T00:00:00Z,60,60,,74,74,,,,,56.3,57,55.6
2024-06-01T00:00:00Z,63,63,,69,69,,,,,60.9,61.9,59.9
2024-07-01T00:00:00Z,62,62,,69,69,,,,,52.8,55.1,50.5
2024-08-01T00:00:00Z,62,62,,68,68,,,,,52.2,53.2,51.2
2024-09-01T00:00:00Z,60,60,,70,70,,,,,49,50.1,47.9
2024-10-01T00:00:00Z,56,56,,74,74,,,,,40.6,41.3,39.9
2024-11-01T00:00:00Z,55,55,,76,76,,,,,31.2,32,30.3
2024-12-01T00:00:00Z,53,53,,79,79,,,,,30.2,30,30.4
2025-01-01T00:00:00Z,52,52,,82,82,,,,,26.4,25.8,26.9
2025-02-01T00:00:00Z,51,51,,86,86,,,,,25.8,26.1,25.5
2025-03-01T00:00:00Z,49,49,,86,86,,,,,25.8,26.1,25.5
2025-04-01T00:00:00Z,52,52,,81,81,,,,,30.6,31.4,29.9
2025-05-01T00:00:00Z,57,57,,75,75,,,,,43.4,47.8,39.1
2025-06-01T00:00:00Z,64,64,,71,71,,,,,40.6,44.6,36.6
2025-07-01T00:00:00Z,61,61,,70,70,,,,,44.3,48.9,39.8
2025-08-01T00:00:00Z,61,61,,69,69,,,,,39.1,43.7,34.6
2025-09-01T00:00:00Z,59,59,,70,70,,,,,35.5,38.5,32.5
2025-10-01T00:00:00Z,56,56,,74,74,,,,,31.8,35.2,28.4
2025-11-01T00:00:00Z,53,53,,77,77,,,,,28,30.2,25.9
2025-12-01T00:00:00Z,54,54,,78,78,,,,,29.7,32.1,27.3
