time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-08-01T00:00:00Z,58,58,,70,70,,,,,27.2,28.1,26.4
2024-10-01T00:00:00Z,40,40,,86,86,,,,,23.3,23.6,23
2024-11-01T00:00:00Z,54,54,,78,78,,,,,15.6,14.8,16.4
2025-01-01T00:00:00Z,56,56,,82,82,,,,,15.4,15.1,15.7
2025-02-01T00:00:00Z,56,56,,84,84,,,,,13.8,13.4,14.1
2025-03-01T00:00:00Z,54,54,,84,84,,,,,14.8,14.5,15.2
2025-04-01T00:00:00Z,55,55,,80,80,,,,,18.6,18.2,19
2025-05-01T00:00:00Z,58,58,,75,75,,,,,29.6,29,30.1
2025-06-01T00:00:00Z,60,60,,74,74,,,,,23.2,22.6,23.8
2025-07-01T00:00:00Z,57,57,,74,74,,,,,28.1,27.5,28.6
2025-08-01T00:00:00Z,57,57,,72,72,,,,,22.1,21.6,22.5
2025-09-01T00:00:00Z,57,57,,72,72,,,,,26.3,25.8,26.8
2025-10-01T00:00:00Z,55,55,,75,75,,,,,18.6,18.2,19.1
2025-11-01T00:00:00Z,56,56,,76,76,,,,,19.6,18.9,20.3
2025-12-01T00:00:00Z,57,57,,78,78,,,,,23,22.4,23.7
