time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-03-01T00:00:00Z,48,48,,87,87,,,,,25.1,24.7,25.5
2024-04-01T00:00:00Z,48,48,,84,84,,,,,29.9,29.2,30.6
2024-05-01T00:00:00Z,54,54,,76,76,,,,,52.2,51.1,53.3
2024-06-01T00:00:00Z,57,57,,71,71,,,,,60.6,59.5,61.7
2024-07-01T00:00:00Z,57,57,,70,70,,,,,54.3,53.7,54.9
2024-08-01T00:00:00Z,56,56,,70,70,,,,,51.8,52.1,51.5
2024-09-01T00:00:00Z,56,56,,71,71,,,,,615.4,49.9,1180.8
2024-10-01T00:00:00Z,55,55,,73,73,,,,,1638.6,57.4,3219.9
2024-11-01T00:00:00Z,52,52,,79,79,,,,,38.7,41,36.3
2024-12-01T00:00:00Z,49,49,,80,80,,,,,37.7,40.5,34.9
2025-01-01T00:00:00Z,48,48,,83,83,,,,,34.6,38.8,30.5
2025-02-01T00:00:00Z,49,49,,86,86,,,,,36.1,41.2,31
2025-03-01T00:00:00Z,47,47,,85,85,,,,,38.8,44.5,33.1
2025-04-01T00:00:00Z,51,51,,80,80,,,,,41.8,45.3,38.4
2025-05-01T00:00:00Z,55,55,,75,75,,,,,57.2,59.4,55
2025-06-01T00:00:00Z,58,58,,73,73,,,,,52.4,52.8,52
2025-07-01T00:00:00Z,,,,,,,,,,54.6,55.5,53.6
2025-08-01T00:00:00Z,53,53,,72,72,,,,,50.9,52.7,49.1
2025-09-01T00:00:00Z,54,54,,73,73,,,,,50.2,53.4,46.9
2025-10-01T00:00:00Z,51,51,,75,75,,,,,46.4,50.3,42.4
2025-11-01T00:00:00Z,50,50,,78,78,,,,,43,48.7,37.3
2025-12-01T00:00:00Z,50,50,,80,80,,,,,43.9,48.3,39.6
