time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-08-01T00:00:00Z,50,50,,75,75,,,,,31.4,30,32.7
2024-10-01T00:00:00Z,43,43,,84,84,,,,,65.2,64.8,65.6
2024-11-01T00:00:00Z,58,58,,77,77,,,,,40.7,43.1,38.2
2024-12-01T00:00:00Z,55,55,,78,78,,,,,42,43.4,40.6
2025-01-01T00:00:00Z,53,53,,81,81,,,,,39.1,38.7,39.5
2025-02-01T00:00:00Z,52,52,,85,85,,,,,708.2,1367.9,48.5
2025-03-01T00:00:00Z,48,48,,86,86,,,,,29.5,29.5,29.6
2025-04-01T00:00:00Z,51,51,,81,81,,,,,34.8,35.1,34.5
2025-05-01T00:00:00Z,64,64,,74,74,,,,,73.1,72.9,73.4
2025-09-01T00:00:00Z,58,58,,72,72,,,,,48.7,50.8,46.6
2025-10-01T00:00:00Z,57,57,,73,73,,,,,47,49,44.9
2025-11-01T00:00:00Z,56,56,,74,74,,,,,45.5,47.5,43.4
2025-12-01T00:00:00Z,56,56,,77,77,,,,,47.8,50.5,45
