time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-03-01T00:00:00Z,52,52,,85,85,,,,,19.9,19.9,19.9
2024-04-01T00:00:00Z,52,52,,82,82,,,,,26,26.2,25.9
2024-05-01T00:00:00Z,57,57,,75,75,,,,,42.7,42.9,42.5
2024-06-01T00:00:00Z,58,58,,71,71,,,,,45.4,45.7,45.2
2024-09-01T00:00:00Z,55,55,,72,72,,,,,43.6,43.6,43.6
2024-10-01T00:00:00Z,55,55,,74,74,,,,,34.6,36.5,32.7
2024-11-01T00:00:00Z,50,50,,81,81,,,,,44.9,46.5,43.3
2025-01-01T00:00:00Z,42,42,,88,88,,,,,39.4,42.1,36.7
2025-03-01T00:00:00Z,48,48,,87,87,,,,,13.6,15.7,11.5
2025-04-01T00:00:00Z,45,45,,87,87,,,,,30.9,38.3,23.6
2025-05-01T00:00:00Z,53,53,,75,75,,,,,41.8,50.7,33
2025-07-01T00:00:00Z,59,59,,72,72,,,,,39,46.8,31.2
2025-08-01T00:00:00Z,57,57,,71,71,,,,,34.1,45.4,22.9
2025-09-01T00:00:00Z,56,56,,72,72,,,,,27.6,42.3,12.9
2025-10-01T00:00:00Z,54,54,,74,74,,,,,32.6,38.9,26.2
2025-11-01T00:00:00Z,54,54,,76,76,,,,,35.7,39.8,31.7
2025-12-01T00:00:00Z,54,54,,78,78,,,,,35.8,40.4,31.2
