time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-03-01T00:00:00Z,44,44,,91,91,,,,,24.4,23.4,25.4
2024-09-01T00:00:00Z,58,58,,71,71,,,,,43.8,41.3,46.3
2024-10-01T00:00:00Z,54,54,,75,75,,,,,37.4,35,39.8
2024-11-01T00:00:00Z,52,52,,77,77,,,,,30.8,28.4,33.2
2025-01-01T00:00:00Z,48,48,,86,86,,,,,30.6,28.1,33.2
2025-02-01T00:00:00Z,50,50,,87,87,,,,,32.3,30,34.7
2025-03-01T00:00:00Z,48,48,,86,86,,,,,32.1,30,34.1
2025-04-01T00:00:00Z,52,52,,80,80,,,,,39.4,37.2,41.5
2025-05-01T00:00:00Z,55,55,,75,75,,,,,59,57.1,61
2025-06-01T00:00:00Z,58,58,,74,74,,,,,49.6,47.9,51.2
2025-07-01T00:00:00Z,56,56,,73,73,,,,,52.3,50.5,54.1
2025-08-01T00:00:00Z,56,56,,72,72,,,,,44.6,42.4,46.9
2025-09-01T00:00:00Z,54,54,,73,73,,,,,44.7,42.6,46.8
2025-10-01T00:00:00Z,51,51,,76,76,,,,,46,43.7,48.2
2025-11-01T00:00:00Z,49,49,,79,79,,,,,38.4,35.7,41.1
2025-12-01T00:00:00Z,50,50,,81,81,,,,,38.4,34.9,41.9
