"time_stamp","pm2_5_cf_1","pm2_5_cf_1_a","pm2_5_cf_1_b","sensor_id"
2024-08-01,47.2,46.7,47.8,"pa7"
2024-09-01,40.5,40.3,40.8,"pa7"
2024-10-01,36.5,36.1,36.9,"pa7"
2024-11-01,26.6,26.1,27,"pa7"
2024-12-01,32.9,32.2,33.5,"pa7"
2025-01-01,27.3,26.8,27.8,"pa7"
2025-02-01,32.8,32.5,33.2,"pa7"
2025-03-01,29.1,27.7,30.5,"pa7"
2025-04-01,34,32,36,"pa7"
2025-05-01,47,46.4,47.7,"pa7"
2025-06-01,36.9,40.5,33.4,"pa7"
2025-07-01,41.9,46.5,37.2,"pa7"
2025-08-01,35.1,38.4,31.7,"pa7"
2025-09-01,38,40.8,35.2,"pa7"
2025-10-01,29.9,32.1,27.7,"pa7"
2025-11-01,29.6,31.2,28,"pa7"
2025-12-01,35.4,36.1,34.7,"pa7"
2024-08-01,27.4,26.2,28.6,"pa8"
2024-09-01,36.8,35.3,38.3,"pa8"
2024-10-01,27.7,26.4,29,"pa8"
2024-11-01,18.5,17.6,19.5,"pa8"
2024-12-01,19.2,18.4,20,"pa8"
2025-01-01,17.1,16.4,17.9,"pa8"
2025-02-01,1917,3817.5,16.5,"pa8"
2025-03-01,14.6,7.2,22,"pa8"
2025-04-01,22.3,21.4,23.2,"pa8"
2025-05-01,36.3,34.9,37.7,"pa8"
2025-06-01,31.2,29.5,32.9,"pa8"
2025-07-01,37.6,35.3,39.8,"pa8"
2025-08-01,27.3,24.1,30.4,"pa8"
2025-09-01,30.7,27.4,34,"pa8"
2025-10-01,24.6,22.5,26.7,"pa8"
2025-11-01,27.1,24.7,29.5,"pa8"
2025-12-01,26.7,25.2,28.1,"pa8"
2023-07-01,47.5,48.9,46,"pa9"
2023-08-01,53.1,55.3,50.9,"pa9"
2023-09-01,52.1,53.6,50.5,"pa9"
2023-10-01,55,56.7,53.3,"pa9"
2023-11-01,46.8,48.3,45.3,"pa9"
2023-12-01,42.2,43.3,41.1,"pa9"
2024-01-01,30.7,31.1,30.3,"pa9"
2024-02-01,27.6,28.5,26.7,"pa9"
2024-03-01,29.7,30.7,28.7,"pa9"
2024-04-01,37.5,36.6,38.4,"pa9"
2024-05-01,65.3,66.4,64.2,"pa9"
2024-06-01,71.5,73.1,69.9,"pa9"
2024-07-01,57.8,61.4,54.2,"pa9"
2024-08-01,56.6,58.1,55.2,"pa9"
2024-09-01,51.4,52.6,50.3,"pa9"
2024-10-01,41.4,42.3,40.4,"pa9"
2024-11-01,30.2,31.2,29.2,"pa9"
2024-12-01,30,29.9,30.2,"pa9"
2025-01-01,26.9,26.3,27.4,"pa9"
2025-02-01,26.4,26.8,26.1,"pa9"
2025-03-01,25.8,26.3,25.3,"pa9"
2025-04-01,30.7,31.8,29.6,"pa9"
2025-05-01,44.3,49.9,38.7,"pa9"
2025-06-01,40.8,45.9,35.6,"pa9"
2025-07-01,44.6,50.9,38.2,"pa9"
2025-08-01,38.7,44.5,32.9,"pa9"
2025-09-01,34.7,38.4,31,"pa9"
2025-10-01,30.2,34.3,26.2,"pa9"
2025-11-01,26.6,29.2,24.1,"pa9"
2025-12-01,29,31.8,26.1,"pa9"
2024-08-01,26,27,25,"pa10"
2024-10-01,22.5,22.8,22.3,"pa10"
2024-11-01,15.1,14.4,15.8,"pa10"
2025-01-01,15.1,15,15.3,"pa10"
2025-02-01,13.7,13.4,14,"pa10"
2025-03-01,14.5,14.2,14.8,"pa10"
2025-04-01,18.5,18.2,18.7,"pa10"
2025-05-01,30.3,29.9,30.7,"pa10"
2025-06-01,22.9,22.5,23.3,"pa10"
2025-07-01,27.9,27.5,28.3,"pa10"
2025-08-01,21.5,21.2,21.8,"pa10"
2025-09-01,26.3,25.9,26.6,"pa10"
2025-10-01,18.1,17.7,18.4,"pa10"
2025-11-01,19.1,18.6,19.7,"pa10"
2025-12-01,23.4,22.8,24,"pa10"
2023-07-01,38.9,37.4,40.4,"pa11"
2023-08-01,46.4,44.3,48.4,"pa11"
2023-09-01,44.1,42,46.2,"pa11"
2023-10-01,45.8,44.2,47.4,"pa11"
2023-11-01,40.3,39.4,41.2,"pa11"
2023-12-01,35.3,35.1,35.6,"pa11"
2024-01-01,24.2,23.7,24.7,"pa11"
2024-02-01,19.7,19.9,19.6,"pa11"
2024-03-01,22.5,23,22.1,"pa11"
2024-04-01,29.5,30.2,28.8,"pa11"
2024-05-01,61.1,61.8,60.4,"pa11"
2024-06-01,70,69.6,70.4,"pa11"
2024-07-01,60.9,60.9,61,"pa11"
2024-08-01,56.7,56.7,56.6,"pa11"
2024-09-01,49.5,48.7,50.3,"pa11"
2024-10-01,38.9,37.8,40.1,"pa11"
2024-11-01,31.2,29.7,32.6,"pa11"
2024-12-01,29.6,29.4,29.7,"pa11"
2025-01-01,24,23.9,24.1,"pa11"
2025-02-01,22.7,21.8,23.5,"pa11"
2025-03-01,19.5,18.1,20.8,"pa11"
2025-04-01,23.4,22.2,24.5,"pa11"
2025-05-01,39,40.1,37.9,"pa11"
2025-06-01,36.8,34.7,38.9,"pa11"
2025-07-01,38.3,36,40.6,"pa11"
2025-08-01,33.1,32.2,34.1,"pa11"
2025-09-01,33.3,33.5,33.1,"pa11"
2025-10-01,29.1,29.2,29,"pa11"
2025-11-01,30.8,32,29.7,"pa11"
2025-12-01,30.7,29,32.5,"pa11"
