"deviceName","date"
"uHoo 1 (DA82)","2022-05-01"
"uHoo 1 (DA82)","2022-05-02"
"uHoo 1 (DA82)","2022-05-03"
"uHoo 1 (DA82)","2022-05-04"
"uHoo 1 (DA82)","2022-05-05"
"uHoo 1 (DA82)","2022-05-06"
"uHoo 1 (DA82)","2022-05-07"
"uHoo 1 (DA82)","2022-05-08"
"uHoo 1 (DA82)","2022-05-09"
"uHoo 1 (DA82)","2022-05-10"
"uHoo 1 (DA82)","2022-05-11"
"uHoo 1 (DA82)","2022-05-12"
"uHoo 1 (DA82)","2022-05-13"
"uHoo 1 (DA82)","2022-05-14"
"uHoo 1 (DA82)","2022-05-15"
"uHoo 1 (DA82)","2022-05-16"
"uHoo 1 (DA82)","2022-05-17"
"uHoo 1 (DA82)","2022-05-18"
"uHoo 1 (DA82)","2022-05-19"
"uHoo 1 (DA82)","2022-05-20"
"uHoo 1 (DA82)","2022-05-21"
"uHoo 1 (DA82)","2022-05-22"
"uHoo 1 (DA82)","2022-05-23"
"uHoo 1 (DA82)","2022-05-24"
"uHoo 1 (DA82)","2022-05-25"
"uHoo 1 (DA82)","2022-05-26"
"uHoo 1 (DA82)","2022-05-27"
"uHoo 1 (DA82)","2022-05-28"
"uHoo 1 (DA82)","2022-05-29"
"uHoo 1 (DA82)","2022-05-30"
