"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","voc","voc_a","voc_b","pm2_5_atm","pm2_5_atm_a","pm2_5_atm_b","pm10_0_atm","pm10_0_atm_a","pm10_0_atm_b","sensor_id"
2025-10-01,51,51,NA,75,75,NA,NA,NA,NA,39.1,41.9,36.4,46.4,50.3,42.4,"159599"
2025-11-01,50,50,NA,78,78,NA,NA,NA,NA,37.1,41.3,32.8,43,48.7,37.3,"159599"
2025-12-01,50,50,NA,80,80,NA,NA,NA,NA,38.1,41.2,34.9,43.9,48.3,39.6,"159599"
2024-08-01,50,50,NA,75,75,NA,NA,NA,NA,29.5,28.4,30.6,31.4,30,32.7,"180021"
2024-10-01,43,43,NA,84,84,NA,NA,NA,NA,53.7,53.4,54.1,65.2,64.8,65.6,"180021"
2024-11-01,58,58,NA,77,77,NA,NA,NA,NA,35.8,37.5,34.2,40.7,43.1,38.2,"180021"
2024-12-01,55,55,NA,78,78,NA,NA,NA,NA,37.3,38.4,36.3,42,43.4,40.6,"180021"
2025-01-01,53,53,NA,81,81,NA,NA,NA,NA,35.5,35.1,35.8,39.1,38.7,39.5,"180021"
2025-02-01,52,52,NA,85,85,NA,NA,NA,NA,704.4,1365.6,43.3,708.2,1367.9,48.5,"180021"
2025-03-01,48,48,NA,86,86,NA,NA,NA,NA,26.9,26.8,27.1,29.5,29.5,29.6,"180021"
2025-04-01,51,51,NA,81,81,NA,NA,NA,NA,31.2,31.3,31.1,34.8,35.1,34.5,"180021"
2025-05-01,64,64,NA,74,74,NA,NA,NA,NA,64.7,63.6,65.7,73.1,72.9,73.4,"180021"
2025-09-01,58,58,NA,72,72,NA,NA,NA,NA,41.5,43.1,40,48.7,50.8,46.6,"180021"
2025-10-01,57,57,NA,73,73,NA,NA,NA,NA,40.4,41.9,38.9,47,49,44.9,"180021"
2025-11-01,56,56,NA,74,74,NA,NA,NA,NA,39.3,40.8,37.8,45.5,47.5,43.4,"180021"
2025-12-01,56,56,NA,77,77,NA,NA,NA,NA,41.9,44.1,39.6,47.8,50.5,45,"180021"
2024-04-01,46,46,NA,88,88,NA,NA,NA,NA,43.5,43.5,43.4,53.2,53,53.4,"180043"
2024-05-01,61,61,NA,74,74,NA,NA,NA,NA,43.2,43.1,43.3,51.3,50.8,51.8,"180043"
2024-06-01,62,62,NA,71,71,NA,NA,NA,NA,44.4,44.4,44.3,53.1,52.8,53.5,"180043"
2024-07-01,62,62,NA,70,70,NA,NA,NA,NA,40.8,40.5,41.1,48.8,48.1,49.6,"180043"
2024-08-01,60,60,NA,70,70,NA,NA,NA,NA,38,37.7,38.3,45.3,44.5,46.1,"180043"
2024-09-01,60,60,NA,71,71,NA,NA,NA,NA,34.8,34.7,35,40.8,40.2,41.4,"180043"
2024-10-01,57,57,NA,74,74,NA,NA,NA,NA,31.7,31.4,32,36.3,35.6,37,"180043"
2024-11-01,56,56,NA,77,77,NA,NA,NA,NA,24.8,24.4,25.1,27.3,26.6,28,"180043"
2024-12-01,55,55,NA,79,79,NA,NA,NA,NA,28.5,28,28.9,32.3,31.5,33.1,"180043"
2025-01-01,53,53,NA,83,83,NA,NA,NA,NA,24.1,23.6,24.5,26.5,25.8,27.2,"180043"
2025-02-01,53,53,NA,86,86,NA,NA,NA,NA,27.5,27.2,27.8,30.6,30.1,31.2,"180043"
2025-03-01,51,51,NA,85,85,NA,NA,NA,NA,25.7,24.5,26.9,28.5,26.9,30,"180043"
2025-04-01,55,55,NA,80,80,NA,NA,NA,NA,29.1,27.7,30.5,33,31.1,34.9,"180043"
2025-05-01,59,59,NA,75,75,NA,NA,NA,NA,37.9,37.4,38.4,44.5,43.7,45.4,"180043"
2025-06-01,62,62,NA,73,73,NA,NA,NA,NA,31.6,33.8,29.4,36.8,39,34.5,"180043"
2025-07-01,60,60,NA,72,72,NA,NA,NA,NA,35.2,37.9,32.5,41.7,44.4,38.9,"180043"
2025-08-01,60,60,NA,71,71,NA,NA,NA,NA,30.6,32.7,28.6,35.9,37.9,33.8,"180043"
2025-09-01,59,59,NA,71,71,NA,NA,NA,NA,32.4,34,30.7,37.9,39.5,36.4,"180043"
2025-10-01,56,56,NA,74,74,NA,NA,NA,NA,27.2,28.7,25.6,31,32.4,29.5,"180043"
2025-11-01,55,55,NA,77,77,NA,NA,NA,NA,26.7,27.8,25.6,30.3,31.2,29.4,"180043"
2025-12-01,54,54,NA,79,79,NA,NA,NA,NA,29.9,30.3,29.5,33.9,34,33.8,"180043"
2023-07-01,57,57,NA,76,76,NA,NA,NA,NA,38.4,39.3,37.5,44.7,45.8,43.6,"180119"
2023-08-01,57,57,NA,76,76,NA,NA,NA,NA,41.7,42.9,40.5,48.8,50.2,47.4,"180119"
2023-09-01,61,61,NA,74,74,NA,NA,NA,NA,41.1,42.1,40,48.5,49.6,47.3,"180119"
2023-10-01,59,59,NA,76,76,NA,NA,NA,NA,42.4,43.3,41.4,50.3,51.4,49.2,"180119"
2023-11-01,58,58,NA,76,76,NA,NA,NA,NA,38,38.9,37,44.4,45.5,43.4,"180119"
