sensor_id,mean_pm25,mean_pm10,mean_humidity,mean_temperature,abs_thresh,rel_thresh,sensor_id_clean,sensor_name,latitude,longitude
159005,32.705882352941174,39.944117647058825,55.588235294117645,77.6470588235294,5,0.7,159005,GEOHealth_MiPeru_Chavinillo,-11.846941,-77.11573
159435,30.934615384615384,41.25769230769231,52.92307692307692,77.6923076923077,5,0.7,159435,GEOHealth_Ventanilla_NSBelen,-11.872896,-77.119804
159599,40.081818181818186,47.96363636363636,53.8,75.7,5,0.7,159599,GeoHealth_Comas_2055PAbril,-11.915533,-77.04406
180021,39.63181818181818,45.17272727272727,53.90909090909091,77.72727272727273,5,0.7,180021,GEOHealth_Carab_VictorRaulHT,-11.893744,-77.03381
180043,32.6075,37.8675,56.8,76.4,5,0.7,180043,GEOHealth_SanMa_IE005,-11.945718,-77.08931
180119,33.975,39.15416666666667,55.625,77.79166666666667,5,0.7,180119,GEOHealth_PuenteP_Estadio_1,-11.863259,-77.07415
