"virusIndex","moldIndex","timestamp","deviceName","macAddress"
10,10,1655748000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655751600,"uHoo 1 (DA82)","e415f654da82"
10,10,1655762400,"uHoo 1 (DA82)","e415f654da82"
10,10,1655766000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655776800,"uHoo 1 (DA82)","e415f654da82"
10,10,1655780400,"uHoo 1 (DA82)","e415f654da82"
10,10,1655910000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655913600,"uHoo 1 (DA82)","e415f654da82"
10,10,1655917200,"uHoo 1 (DA82)","e415f654da82"
10,10,1655920800,"uHoo 1 (DA82)","e415f654da82"
10,10,1655924400,"uHoo 1 (DA82)","e415f654da82"
10,10,1655928000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655931600,"uHoo 1 (DA82)","e415f654da82"
10,10,1655935200,"uHoo 1 (DA82)","e415f654da82"
10,10,1655938800,"uHoo 1 (DA82)","e415f654da82"
10,10,1655942400,"uHoo 1 (DA82)","e415f654da82"
10,10,1655946000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655949600,"uHoo 1 (DA82)","e415f654da82"
10,10,1655953200,"uHoo 1 (DA82)","e415f654da82"
10,10,1655956800,"uHoo 1 (DA82)","e415f654da82"
10,10,1655960400,"uHoo 1 (DA82)","e415f654da82"
10,10,1655964000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655967600,"uHoo 1 (DA82)","e415f654da82"
10,10,1655971200,"uHoo 1 (DA82)","e415f654da82"
10,10,1655974800,"uHoo 1 (DA82)","e415f654da82"
10,10,1655978400,"uHoo 1 (DA82)","e415f654da82"
10,10,1655982000,"uHoo 1 (DA82)","e415f654da82"
10,10,1655985600,"uHoo 1 (DA82)","e415f654da82"
10,10,1655989200,"uHoo 1 (DA82)","e415f654da82"
10,10,1655992800,"uHoo 1 (DA82)","e415f654da82"
10,10,1655996400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656000000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656003600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656007200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656010800,"uHoo 1 (DA82)","e415f654da82"
10,10,1656014400,"uHoo 1 (DA82)","e415f654da82"
10,10,1656018000,"uHoo 1 (DA82)","e415f654da82"
10,10,1656021600,"uHoo 1 (DA82)","e415f654da82"
10,10,1656025200,"uHoo 1 (DA82)","e415f654da82"
10,10,1656028800,"uHoo 1 (DA82)","e415f654da82"
