"deviceName","date"
"uHoo 1 (DA82)","2022-07-01"
"uHoo 1 (DA82)","2022-07-02"
"uHoo 1 (DA82)","2022-07-04"
"uHoo 1 (DA82)","2022-07-12"
"uHoo 1 (DA82)","2022-07-16"
"uHoo 1 (DA82)","2022-07-17"
"uHoo 1 (DA82)","2022-07-18"
"uHoo 1 (DA82)","2022-07-19"
"uHoo 1 (DA82)","2022-07-20"
"uHoo 1 (DA82)","2022-07-21"
"uHoo 1 (DA82)","2022-07-22"
"uHoo 1 (DA82)","2022-07-23"
"uHoo 1 (DA82)","2022-07-24"
"uHoo 1 (DA82)","2022-07-25"
"uHoo 1 (DA82)","2022-07-26"
"uHoo 1 (DA82)","2022-07-27"
"uHoo 1 (DA82)","2022-07-28"
"uHoo 1 (DA82)","2022-07-29"
"uHoo 1 (DA82)","2022-07-30"
"uHoo 1 (DA82)","2022-07-31"
