"deviceName","date"
"uHoo 1 (DA82)","2022-06-01"
"uHoo 1 (DA82)","2022-06-02"
"uHoo 1 (DA82)","2022-06-03"
"uHoo 1 (DA82)","2022-06-04"
"uHoo 1 (DA82)","2022-06-05"
"uHoo 1 (DA82)","2022-06-06"
"uHoo 1 (DA82)","2022-06-07"
"uHoo 1 (DA82)","2022-06-08"
"uHoo 1 (DA82)","2022-06-09"
"uHoo 1 (DA82)","2022-06-10"
"uHoo 1 (DA82)","2022-06-11"
"uHoo 1 (DA82)","2022-06-12"
"uHoo 1 (DA82)","2022-06-13"
"uHoo 1 (DA82)","2022-06-14"
"uHoo 1 (DA82)","2022-06-15"
"uHoo 1 (DA82)","2022-06-16"
"uHoo 1 (DA82)","2022-06-17"
"uHoo 1 (DA82)","2022-06-18"
"uHoo 1 (DA82)","2022-06-19"
"uHoo 1 (DA82)","2022-06-28"
"uHoo 1 (DA82)","2022-06-29"
"uHoo 1 (DA82)","2022-06-30"
