"estimate","std.error","statistic","p.value","term","conf.low","conf.high","exposure","outcome","model"
1.1063881311814,0.0720820171559402,1.40257969850027,0.160742209185268,"log_dist_road",0.960616532083282,1.27428027307045,"log_dist_road","DC binary","Unadjusted"
-0.718541859788455,0.335982634185662,-2.13862797263323,0.0327878000821975,"log_dist_road",-1.37706782279235,-0.0600158967845569,"log_dist_road","ACE","Unadjusted"
0.0692709046548034,0.240595985553961,0.287913800786453,0.774082113824949,"log_dist_road",-0.40229722703096,0.540839036340567,"log_dist_road","RUDAS","Unadjusted"
1.07244186853861,0.0727399518601617,0.961482194224066,0.336309774100986,"log_dist_road",0.929942858566922,1.23677659417374,"log_dist_road","DC binary","Age & sex adjusted"
0.98773088828362,0.00572793527267471,-2.15522662679941,0.0311441042461591,"age_n",0.976703891940438,0.998882379521678,"log_dist_road","DC binary","Age & sex adjusted"
0.351199088370313,0.241595947199854,-4.33120681496967,1.48294310075183e-05,"sexMasculino",0.2187271821202,0.563902476484874,"log_dist_road","DC binary","Age & sex adjusted"
-0.924200242180293,0.326974996291523,-2.82651656139572,0.00483113778924084,"log_dist_road",-1.56507123491168,-0.283329249448908,"log_dist_road","ACE","Age & sex adjusted"
-0.296375355624974,0.0455662607982667,-6.50427203006851,1.42680074379956e-10,"age_n",-0.385685226789576,-0.207065484460371,"log_dist_road","ACE","Age & sex adjusted"
3.71021214006085,0.844766744001833,4.39199597569954,1.28494820197187e-05,"sexMasculino",2.05446932181726,5.36595495830445,"log_dist_road","ACE","Age & sex adjusted"
0.0692427273453751,0.240971755746072,0.287347897395664,0.774529267011084,"log_dist_road",-0.403061913916926,0.541547368607676,"log_dist_road","RUDAS","Age & sex adjusted"
0.00250323971178161,0.0601960701725434,0.041584769647029,0.966925002289585,"age_n",-0.115481057826403,0.120487537249967,"log_dist_road","RUDAS","Age & sex adjusted"
0.0396819777981408,0.761554722329556,0.0521065350061198,0.958563261451946,"sexMasculino",-1.45296527796779,1.53232923356407,"log_dist_road","RUDAS","Age & sex adjusted"
