"deviceName","date"
"uHoo 1 (DA82)","2022-04-01"
"uHoo 1 (DA82)","2022-04-02"
"uHoo 1 (DA82)","2022-04-03"
"uHoo 1 (DA82)","2022-04-04"
"uHoo 1 (DA82)","2022-04-05"
"uHoo 1 (DA82)","2022-04-06"
"uHoo 1 (DA82)","2022-04-07"
"uHoo 1 (DA82)","2022-04-08"
"uHoo 1 (DA82)","2022-04-09"
"uHoo 1 (DA82)","2022-04-10"
"uHoo 1 (DA82)","2022-04-11"
"uHoo 1 (DA82)","2022-04-12"
"uHoo 1 (DA82)","2022-04-13"
"uHoo 1 (DA82)","2022-04-14"
"uHoo 1 (DA82)","2022-04-15"
"uHoo 1 (DA82)","2022-04-16"
"uHoo 1 (DA82)","2022-04-17"
"uHoo 1 (DA82)","2022-04-18"
"uHoo 1 (DA82)","2022-04-19"
"uHoo 1 (DA82)","2022-04-20"
"uHoo 1 (DA82)","2022-04-21"
"uHoo 1 (DA82)","2022-04-22"
"uHoo 1 (DA82)","2022-04-23"
"uHoo 1 (DA82)","2022-04-24"
"uHoo 1 (DA82)","2022-04-25"
"uHoo 1 (DA82)","2022-04-26"
"uHoo 1 (DA82)","2022-04-27"
"uHoo 1 (DA82)","2022-04-28"
"uHoo 1 (DA82)","2022-04-29"
"uHoo 1 (DA82)","2022-04-30"
