time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-02-29T12:00:00Z,53,53,,88,88,,42.4,42.2,42.6,53,52.9,53.2
2024-02-29T18:00:00Z,50,50,,87,87,,22.7,22.6,22.8,26.4,26.3,26.5
2024-03-01T00:00:00Z,63,63,,79,79,,22.6,22.3,22.8,25.3,25.1,25.5
2024-03-01T06:00:00Z,63,63,,79,79,,26.2,26,26.4,29.8,29.6,30
2024-03-01T12:00:00Z,58,58,,83,83,,34.8,34.7,35,41.2,41.1,41.3
2024-03-01T18:00:00Z,48,48,,88,88,,15.4,15.3,15.6,17.1,17.1,17.2
2024-03-02T00:00:00Z,58,58,,82,82,,52.5,52.4,52.7,61.6,61.5,61.7
2024-03-02T12:00:00Z,46,46,,89,89,,23.3,23.2,23.3,27.2,27.2,27.2
2024-03-02T18:00:00Z,43,43,,91,91,,10.2,10.1,10.3,11.3,11.2,11.4
2024-03-03T00:00:00Z,58,58,,82,82,,31.7,31.4,32,35.6,35.4,35.7
2024-03-03T06:00:00Z,60,60,,82,82,,31.6,31.4,31.8,36.7,36.6,36.9
2024-03-03T12:00:00Z,48,48,,88,88,,26.2,26.1,26.2,31.2,31.1,31.3
2024-03-04T12:00:00Z,50,50,,87,87,,24.1,23.9,24.3,28.3,28.1,28.6
2024-03-04T18:00:00Z,41,41,,93,93,,11.6,11.5,11.8,13.1,13,13.2
2024-03-05T00:00:00Z,54,54,,83,83,,18.1,17.9,18.4,20.5,20.3,20.7
2024-03-05T06:00:00Z,60,60,,81,81,,22.6,22.3,22.9,25.2,25,25.5
2024-03-05T12:00:00Z,58,58,,83,83,,37.8,37.6,37.9,45.9,45.6,46.1
2024-03-06T12:00:00Z,54,54,,85,85,,33.4,33.1,33.7,40.1,39.9,40.3
2024-03-06T18:00:00Z,41,41,,93,93,,11.7,11.5,11.9,13.6,13.4,13.9
2024-03-07T00:00:00Z,57,57,,82,82,,26.5,26.3,26.7,30.7,30.5,30.8
2024-03-07T06:00:00Z,59,59,,81,81,,31.9,31.6,32.1,37,36.7,37.2
2024-03-07T12:00:00Z,50,50,,87,87,,36.4,36.2,36.6,44.6,44.5,44.7
2024-03-07T18:00:00Z,36,36,,94,94,,12.7,12.6,12.8,14.8,14.7,14.8
2024-03-08T00:00:00Z,48,48,,84,84,,24.7,24.6,24.9,28.4,28.4,28.4
2024-03-08T06:00:00Z,59,59,,80,80,,20.3,20,20.6,22.9,22.8,23.1
2024-03-08T12:00:00Z,52,52,,85,85,,28.1,27.9,28.4,32.9,32.7,33.1
2024-03-08T18:00:00Z,43,43,,90,90,,16.7,16.5,16.9,19.3,19.3,19.4
2024-03-09T00:00:00Z,56,56,,81,81,,27.9,27.7,28.2,32.4,32.2,32.5
2024-03-09T06:00:00Z,57,57,,81,81,,31.9,31.6,32.2,38,37.9,38.2
2024-03-09T12:00:00Z,51,51,,85,85,,26.4,26.2,26.7,31.5,31.3,31.6
2024-03-09T18:00:00Z,42,42,,90,90,,13.3,13.1,13.5,15.5,15.4,15.6
2024-03-10T00:00:00Z,56,56,,81,81,,25.5,25.2,25.8,29.2,29,29.4
2024-03-10T06:00:00Z,60,60,,78,78,,24.6,24.3,24.9,28.4,28.2,28.6
2024-03-10T12:00:00Z,50,50,,85,85,,28.5,28.2,28.8,33.8,33.5,34
2024-03-10T18:00:00Z,40,40,,92,92,,15.2,14.9,15.5,17.1,17,17.3
2024-03-11T00:00:00Z,54,54,,82,82,,24.6,24.4,24.8,27.9,27.9,28
2024-03-11T06:00:00Z,57,57,,80,80,,25.3,25.1,25.6,29.3,29.2,29.4
2024-03-11T12:00:00Z,57,57,,82,82,,39.9,39.7,40.1,49.8,49.7,49.9
2024-03-11T18:00:00Z,42,42,,91,91,,14.9,14.8,15,17.9,18,17.9
2024-03-12T00:00:00Z,54,54,,83,83,,26.6,26.3,26.9,31.2,31.1,31.2
2024-03-12T06:00:00Z,57,57,,81,81,,30.3,30,30.5,35.8,35.6,35.9
2024-03-12T12:00:00Z,49,49,,86,86,,33.1,32.8,33.4,40.7,40.5,40.8
2024-03-12T18:00:00Z,40,40,,92,92,,20.2,20,20.5,23.8,23.8,23.9
2024-03-13T00:00:00Z,51,51,,83,83,,25.7,25.4,25.9,30.1,30,30.2
2024-03-13T06:00:00Z,56,56,,80,80,,22.8,22.6,23,26.3,26.3,26.4
2024-03-13T12:00:00Z,46,46,,88,88,,42.3,42.1,42.5,53.2,53.1,53.2
2024-03-13T18:00:00Z,37,37,,94,94,,24.1,24,24.2,28.3,28.4,28.3
2024-03-14T00:00:00Z,51,51,,83,83,,24.9,24.7,25.2,29.2,29.2,29.3
2024-03-14T06:00:00Z,56,56,,80,80,,19,18.8,19.2,21.7,21.6,21.7
2024-03-14T12:00:00Z,51,51,,84,84,,28.2,27.9,28.5,32.9,32.6,33.2
2024-03-14T18:00:00Z,46,46,,87,87,,20.6,20.4,20.7,24,23.9,24
2024-03-15T00:00:00Z,54,54,,81,81,,24.1,23.7,24.4,27.7,27.5,27.9
2024-03-15T06:00:00Z,58,58,,79,79,,29.2,29,29.4,33.7,33.6,33.8
2024-03-15T12:00:00Z,51,51,,84,84,,30.5,30.4,30.7,36.7,36.6,36.8
2024-03-15T18:00:00Z,43,43,,90,90,,13.6,13.3,13.8,16.1,15.9,16.2
2024-03-16T00:00:00Z,56,56,,81,81,,21.3,21,21.7,24.8,24.5,25
2024-03-16T06:00:00Z,62,62,,78,78,,32.1,31.9,32.3,38.2,38,38.3
2024-03-16T12:00:00Z,54,54,,84,84,,36,35.7,36.2,43.8,43.7,44
2024-03-16T18:00:00Z,45,45,,89,89,,23.3,23,23.5,26.1,26,26.3
2024-03-17T00:00:00Z,54,54,,82,82,,33.7,33.5,34,40.2,40,40.3
2024-03-17T06:00:00Z,57,57,,81,81,,30.8,30.5,31,36.5,36.3,36.7
2024-03-17T12:00:00Z,50,50,,87,87,,34.3,34.1,34.5,41.5,41.3,41.7
2024-03-17T18:00:00Z,43,43,,91,91,,15.2,14.9,15.4,17.5,17.4,17.6
2024-03-18T00:00:00Z,58,58,,82,82,,29.3,29,29.6,34.2,33.9,34.4
2024-03-18T06:00:00Z,61,61,,80,80,,35.5,35.3,35.7,43,43,43.1
2024-03-18T12:00:00Z,52,52,,86,86,,44,43.7,44.2,55.3,55.1,55.4
