time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2023-07-20T18:00:00Z,48,48,,82,82,,32.7,33.2,32.1,36.2,36.9,35.6
2023-07-21T00:00:00Z,62,62,,73,73,,45.4,46.3,44.6,54.5,55.5,53.4
2023-07-21T06:00:00Z,62,62,,73,73,,45.5,46.2,44.8,55.8,56.8,54.8
2023-07-21T12:00:00Z,53,53,,78,78,,47.7,48.6,46.9,58.4,59.4,57.4
2023-07-21T18:00:00Z,44,44,,84,84,,31.8,32.5,31.1,35.4,36.2,34.7
2023-07-22T00:00:00Z,64,64,,73,73,,38.3,38.9,37.7,45.5,46.3,44.8
2023-07-22T06:00:00Z,62,62,,73,73,,40.1,40.9,39.3,48.3,49.5,47.2
2023-07-22T12:00:00Z,54,54,,77,77,,32.9,33.7,32.2,37.3,38.3,36.3
2023-07-22T18:00:00Z,53,53,,78,78,,35.1,35.7,34.5,40.5,41.3,39.8
2023-07-23T00:00:00Z,64,64,,72,72,,35.4,36.2,34.6,40.5,41.6,39.5
2023-07-23T06:00:00Z,61,61,,73,73,,41.8,42.9,40.7,50.5,51.9,49
2023-07-23T12:00:00Z,52,52,,77,77,,33.2,34,32.5,37.9,38.8,37
2023-07-23T18:00:00Z,40,40,,85,85,,25,25.6,24.4,26.9,27.5,26.3
2023-07-24T00:00:00Z,60,60,,74,74,,30.1,30.6,29.5,32.7,33.3,32
2023-07-24T06:00:00Z,62,62,,73,73,,29.3,29.9,28.7,31.8,32.6,31.1
2023-07-24T12:00:00Z,48,48,,81,81,,41.5,42.3,40.7,50.1,51.2,49
2023-07-24T18:00:00Z,42,42,,85,85,,35.6,36.2,35,41,41.8,40.2
2023-07-25T00:00:00Z,62,62,,71,71,,39.6,40.5,38.6,45.7,46.8,44.6
2023-07-25T06:00:00Z,61,61,,72,72,,44.4,45.2,43.6,54.7,55.8,53.5
2023-07-25T12:00:00Z,58,58,,75,75,,34.1,34.9,33.3,39.4,40.5,38.3
2023-07-25T18:00:00Z,60,60,,74,74,,33.4,34.1,32.8,37.4,38.2,36.7
2023-07-26T00:00:00Z,67,67,,72,72,,37.1,38,36.2,43.4,44.5,42.3
2023-07-26T06:00:00Z,64,64,,71,71,,24.3,25.1,23.5,26.2,26.9,25.5
