time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2022-02-01T00:00:00Z,47,47,,82,82,,,,,17.6,16.4,18.7,20.9,19.8,21.9
2022-03-01T00:00:00Z,45,45,,83,83,,,,,18,16.8,19.3,21.6,20.4,22.7
2022-04-01T00:00:00Z,47,47,,79,79,,,,,21.2,19.9,22.4,25.2,23.9,26.4
2022-05-01T00:00:00Z,50,50,,74,74,,,,,31.2,30.1,32.2,38.4,37.4,39.4
2022-06-01T00:00:00Z,52,52,,71,71,,,,,34.4,33.6,35.2,42.8,42,43.6
2022-07-01T00:00:00Z,54,54,,69,69,,,,,32.7,32,33.5,41.8,41.1,42.6
2022-08-01T00:00:00Z,54,54,,68,68,,,,,34.6,33.8,35.3,43.9,43.2,44.6
2022-09-01T00:00:00Z,53,53,,69,69,,,,,30.1,29.4,30.8,38.1,37.4,38.7
2022-10-01T00:00:00Z,52,52,,69,69,,,,,28.1,27.7,28.4,35.2,34.8,35.6
2022-11-01T00:00:00Z,51,51,,73,73,,,,,22,21.4,22.5,26.6,26,27.1
2023-03-01T00:00:00Z,44,44,,89,89,,,,,10.1,9.4,10.8,11.5,10.8,12.2
2023-04-01T00:00:00Z,45,45,,88,88,,,,,9.8,9.1,10.5,11.3,10.7,12
2023-05-01T00:00:00Z,50,50,,80,80,,,,,18,17.1,18.8,21.4,20.6,22.2
2023-06-01T00:00:00Z,49,49,,79,79,,,,,20.6,19.3,21.8,24.8,23.6,26.1
2023-07-01T00:00:00Z,49,49,,78,78,,,,,18.3,16.7,20,22.1,20.6,23.7
2023-08-01T00:00:00Z,49,49,,78,78,,,,,18.2,17,19.4,22.1,20.9,23.4
2023-09-01T00:00:00Z,52,52,,75,75,,,,,15.6,14.5,16.7,19.3,18.2,20.4
2023-10-01T00:00:00Z,52,52,,76,76,,,,,19.6,18.4,20.7,24.1,22.9,25.3
2023-11-01T00:00:00Z,51,51,,77,77,,,,,16.5,15.3,17.6,20,18.8,21.1
2023-12-01T00:00:00Z,51,51,,79,79,,,,,15,13.8,16.1,17.7,16.5,18.9
2024-01-01T00:00:00Z,49,49,,84,84,,,,,7.3,6.3,8.3,8.5,7.4,9.6
2024-02-01T00:00:00Z,46,46,,88,88,,,,,6.6,5.3,7.8,7.6,6.3,9
2024-03-01T00:00:00Z,45,45,,87,87,,,,,6.4,4.7,8.2,7.7,5.9,9.6
2024-05-01T00:00:00Z,52,52,,74,74,,,,,24.9,17.8,32,32.4,23.8,40.9
2024-06-01T00:00:00Z,53,53,,72,72,,,,,24.3,15.3,33.3,31.8,20.6,43
2024-07-01T00:00:00Z,53,53,,71,71,,,,,18.5,9.5,27.6,24.1,12.9,35.3
2024-08-01T00:00:00Z,52,52,,71,71,,,,,14.8,6,23.7,19.4,8.4,30.5
2024-09-01T00:00:00Z,51,51,,72,72,,,,,13.6,3.9,23.3,17.7,5.6,29.8
2024-10-01T00:00:00Z,49,49,,75,75,,,,,8,1.5,14.6,10.3,2.2,18.4
2024-11-01T00:00:00Z,49,49,,77,77,,,,,3.3,0.3,6.3,4.3,0.6,8.1
2024-12-01T00:00:00Z,48,48,,80,80,,,,,3.5,1.5,5.4,4.6,2.2,6.9
2025-01-01T00:00:00Z,47,47,,83,83,,,,,4,4.2,3.8,5.2,5.5,4.9
2025-02-01T00:00:00Z,46,46,,87,87,,,,,4.2,5.9,2.4,5.3,7.4,3.1
2025-03-01T00:00:00Z,44,44,,88,88,,,,,2,2.7,1.4,2.8,3.8,1.9
2025-04-01T00:00:00Z,44,44,,85,85,,,,,3.9,3.4,4.4,5.2,4.6,5.7
2025-05-01T00:00:00Z,47,47,,79,79,,,,,11,8.1,13.9,14.4,11.1,17.7
2025-06-01T00:00:00Z,52,52,,75,75,,,,,7.6,5.1,10,10.2,7.2,13.1
2025-07-01T00:00:00Z,50,50,,74,74,,,,,9.4,6.1,12.7,12.7,8.5,16.8
2025-08-01T00:00:00Z,50,50,,73,73,,,,,5.6,3.8,7.3,7.6,5.6,9.7
2025-09-01T00:00:00Z,49,49,,75,75,,,,,4.8,4.2,5.4,6.5,6,7
2025-10-01T00:00:00Z,47,47,,77,77,,,,,2.5,2.7,2.3,3.4,3.9,3
2025-11-01T00:00:00Z,47,47,,78,78,,,,,1.7,2,1.5,2.4,2.9,2
2025-12-01T00:00:00Z,47,47,,80,80,,,,,1.7,1.9,1.6,2.3,2.6,2
