time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-03-01T00:00:00Z,44,44,,91,91,,,,,20.4,19.5,21.3,24.4,23.4,25.4
2024-09-01T00:00:00Z,58,58,,71,71,,,,,35.8,33.8,37.8,43.8,41.3,46.3
2024-10-01T00:00:00Z,54,54,,75,75,,,,,31.3,29.4,33.2,37.4,35,39.8
2024-11-01T00:00:00Z,52,52,,77,77,,,,,25.5,23.6,27.3,30.8,28.4,33.2
2025-01-01T00:00:00Z,48,48,,86,86,,,,,23,21.1,24.8,30.6,28.1,33.2
2025-02-01T00:00:00Z,50,50,,87,87,,,,,24.4,22.7,26.2,32.3,30,34.7
2025-03-01T00:00:00Z,48,48,,86,86,,,,,23.7,22.1,25.2,32.1,30,34.1
2025-04-01T00:00:00Z,52,52,,80,80,,,,,28.5,26.8,30.1,39.4,37.2,41.5
2025-05-01T00:00:00Z,55,55,,75,75,,,,,41,39.6,42.5,59,57.1,61
2025-06-01T00:00:00Z,58,58,,74,74,,,,,36.5,35.2,37.7,49.6,47.9,51.2
2025-07-01T00:00:00Z,56,56,,73,73,,,,,38.1,36.7,39.4,52.3,50.5,54.1
2025-08-01T00:00:00Z,56,56,,72,72,,,,,32.1,30.5,33.8,44.6,42.4,46.9
2025-09-01T00:00:00Z,54,54,,73,73,,,,,32.2,30.7,33.8,44.7,42.6,46.8
2025-10-01T00:00:00Z,51,51,,76,76,,,,,32.7,31.1,34.3,46,43.7,48.2
2025-11-01T00:00:00Z,49,49,,79,79,,,,,28.2,26.1,30.2,38.4,35.7,41.1
2025-12-01T00:00:00Z,50,50,,81,81,,,,,29.1,26.5,31.8,38.4,34.9,41.9
