time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-08-01T00:00:00Z,58,58,,70,70,,,,,25.8,26.7,24.9,27.2,28.1,26.4
2024-10-01T00:00:00Z,40,40,,86,86,,,,,22.5,22.8,22.3,23.3,23.6,23
2024-11-01T00:00:00Z,54,54,,78,78,,,,,15.1,14.4,15.8,15.6,14.8,16.4
2025-01-01T00:00:00Z,56,56,,82,82,,,,,14.7,14.5,14.9,15.4,15.1,15.7
2025-02-01T00:00:00Z,56,56,,84,84,,,,,13.2,12.9,13.4,13.8,13.4,14.1
2025-03-01T00:00:00Z,54,54,,84,84,,,,,14.3,14,14.5,14.8,14.5,15.2
2025-04-01T00:00:00Z,55,55,,80,80,,,,,17.5,17.2,17.8,18.6,18.2,19
2025-05-01T00:00:00Z,58,58,,75,75,,,,,26.5,26.2,26.9,29.6,29,30.1
2025-06-01T00:00:00Z,60,60,,74,74,,,,,21.1,20.7,21.5,23.2,22.6,23.8
2025-07-01T00:00:00Z,57,57,,74,74,,,,,25.2,24.9,25.5,28.1,27.5,28.6
2025-08-01T00:00:00Z,57,57,,72,72,,,,,20.1,19.8,20.3,22.1,21.6,22.5
2025-09-01T00:00:00Z,57,57,,72,72,,,,,23.6,23.3,23.9,26.3,25.8,26.8
2025-10-01T00:00:00Z,55,55,,75,75,,,,,17.4,17.1,17.7,18.6,18.2,19.1
2025-11-01T00:00:00Z,56,56,,76,76,,,,,18.3,17.8,18.8,19.6,18.9,20.3
2025-12-01T00:00:00Z,57,57,,78,78,,,,,21.1,20.6,21.6,23,22.4,23.7
