time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-03-01T00:00:00Z,48,48,,87,87,,,,,22.5,21.9,23,25.1,24.7,25.5
2024-04-01T00:00:00Z,48,48,,84,84,,,,,26.2,25.4,27,29.9,29.2,30.6
2024-05-01T00:00:00Z,54,54,,76,76,,,,,43,41.6,44.4,52.2,51.1,53.3
2024-06-01T00:00:00Z,57,57,,71,71,,,,,49.3,47.9,50.7,60.6,59.5,61.7
2024-07-01T00:00:00Z,57,57,,70,70,,,,,44,43,44.9,54.3,53.7,54.9
2024-08-01T00:00:00Z,56,56,,70,70,,,,,42.1,42,42.2,51.8,52.1,51.5
2024-09-01T00:00:00Z,56,56,,71,71,,,,,607.4,40.1,1174.8,615.4,49.9,1180.8
2024-10-01T00:00:00Z,55,55,,73,73,,,,,1633.2,46.7,3219.8,1638.6,57.4,3219.9
2024-11-01T00:00:00Z,52,52,,79,79,,,,,33.7,35.3,32.1,38.7,41,36.3
2024-12-01T00:00:00Z,49,49,,80,80,,,,,33.1,35.2,31.1,37.7,40.5,34.9
2025-01-01T00:00:00Z,48,48,,83,83,,,,,31.3,34.7,27.9,34.6,38.8,30.5
2025-02-01T00:00:00Z,49,49,,86,86,,,,,32.3,36.5,28.1,36.1,41.2,31
2025-03-01T00:00:00Z,47,47,,85,85,,,,,34.3,39,29.7,38.8,44.5,33.1
2025-04-01T00:00:00Z,51,51,,80,80,,,,,36.2,38.8,33.7,41.8,45.3,38.4
2025-05-01T00:00:00Z,55,55,,75,75,,,,,48.2,49.8,46.7,57.2,59.4,55
2025-06-01T00:00:00Z,58,58,,73,73,,,,,44.2,44.1,44.2,52.4,52.8,52
2025-07-01T00:00:00Z,,,,,,,,,,45.2,45.6,44.9,54.6,55.5,53.6
2025-08-01T00:00:00Z,53,53,,72,72,,,,,42.6,43.5,41.6,50.9,52.7,49.1
2025-09-01T00:00:00Z,54,54,,73,73,,,,,42,44.3,39.7,50.2,53.4,46.9
2025-10-01T00:00:00Z,51,51,,75,75,,,,,39.1,41.9,36.4,46.4,50.3,42.4
2025-11-01T00:00:00Z,50,50,,78,78,,,,,37.1,41.3,32.8,43,48.7,37.3
2025-12-01T00:00:00Z,50,50,,80,80,,,,,38.1,41.2,34.9,43.9,48.3,39.6
