time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-08-01T00:00:00Z,66,66,,67,67,,,,,25.6,24.7,26.5,29.9,28,31.8
2024-09-01T00:00:00Z,65,65,,68,68,,,,,31.5,30.5,32.5,37.6,35.5,39.6
2024-10-01T00:00:00Z,64,64,,70,70,,,,,25.4,24.4,26.4,29.2,27.4,31.1
2024-11-01T00:00:00Z,63,63,,73,73,,,,,18,17.2,18.9,20,18.6,21.5
2024-12-01T00:00:00Z,61,61,,76,76,,,,,18.4,17.6,19.2,20.4,19,21.8
2025-01-01T00:00:00Z,59,59,,80,80,,,,,16.6,15.9,17.3,17.9,16.8,19.1
2025-02-01T00:00:00Z,58,58,,83,83,,,,,1280.6,2545.3,15.8,1281.5,2545.4,17.6
2025-03-01T00:00:00Z,58,58,,82,82,,,,,14,7,20.9,16.1,7.5,24.7
2025-04-01T00:00:00Z,60,60,,78,78,,,,,20.8,20,21.6,23.4,21.9,24.9
2025-05-01T00:00:00Z,63,63,,73,73,,,,,31,30,31.9,36.3,34.5,38.2
2025-06-01T00:00:00Z,67,67,,70,70,,,,,27.3,26.2,28.5,32,29.9,34.2
2025-07-01T00:00:00Z,65,65,,69,69,,,,,31.7,30.3,33.1,37.8,35.3,40.3
2025-08-01T00:00:00Z,65,65,,68,68,,,,,24.5,22.3,26.7,29,25.6,32.5
2025-09-01T00:00:00Z,64,64,,69,69,,,,,26.8,24.6,29,32.4,28.5,36.3
2025-10-01T00:00:00Z,63,63,,71,71,,,,,22.7,21.1,24.3,27.4,23.7,31
2025-11-01T00:00:00Z,60,60,,73,73,,,,,24.9,23.1,26.6,29.8,25.9,33.7
2025-12-01T00:00:00Z,59,59,,77,77,,,,,24,22.8,25.1,27.7,25.2,30.2
