time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-02-01T00:00:00Z,51,51,,87,87,,,,,29.3,29.1,29.4,35.3,35.2,35.4
2024-03-01T00:00:00Z,53,53,,84,84,,,,,27.4,27.1,27.7,32.2,32,32.4
2024-04-01T00:00:00Z,55,55,,80,80,,,,,32.4,31.9,32.9,38.9,38.5,39.4
2024-05-01T00:00:00Z,61,61,,74,74,,,,,41.6,40.9,42.2,51.4,50.8,51.9
2024-07-01T00:00:00Z,67,67,,67,67,,,,,42,41.6,42.4,52.9,52.7,53
2024-08-01T00:00:00Z,52,52,,78,78,,,,,41.7,41.4,42,52.4,52,52.8
2024-10-01T00:00:00Z,47,47,,81,81,,,,,18.4,17.8,19.1,19.8,19.2,20.5
2024-12-01T00:00:00Z,56,56,,76,76,,,,,30.9,30.5,31.3,36.5,36.1,36.9
2025-01-01T00:00:00Z,52,52,,83,83,,,,,28.1,27.4,28.9,32.8,32,33.6
2025-02-01T00:00:00Z,53,53,,84,84,,,,,28.1,27.3,28.8,32.5,31.6,33.5
2025-03-01T00:00:00Z,52,52,,83,83,,,,,26.6,26.1,27.2,31.5,30.3,32.7
2025-04-01T00:00:00Z,55,55,,78,78,,,,,32.5,31.9,33.2,39.9,38.1,41.6
2025-05-01T00:00:00Z,58,58,,74,74,,,,,39.9,39.5,40.3,50.4,48.7,52.2
2025-09-01T00:00:00Z,60,60,,70,70,,,,,36.3,35.9,36.6,46.7,44.9,48.4
2025-10-01T00:00:00Z,59,59,,72,72,,,,,34.2,33.7,34.6,43.3,41.3,45.2
2025-11-01T00:00:00Z,57,57,,73,73,,,,,32.2,31.6,32.8,40.3,37.9,42.7
2025-12-01T00:00:00Z,57,57,,76,76,,,,,34.5,33.9,35,42.3,40,44.6
