time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2023-07-01T00:00:00Z,57,57,,76,76,,,,,38.4,39.3,37.5,44.7,45.8,43.6
2023-08-01T00:00:00Z,57,57,,76,76,,,,,41.7,42.9,40.5,48.8,50.2,47.4
2023-09-01T00:00:00Z,61,61,,74,74,,,,,41.1,42.1,40,48.5,49.6,47.3
2023-10-01T00:00:00Z,59,59,,76,76,,,,,42.4,43.3,41.4,50.3,51.4,49.2
2023-11-01T00:00:00Z,58,58,,76,76,,,,,38,38.9,37,44.4,45.5,43.4
2023-12-01T00:00:00Z,55,55,,80,80,,,,,35.3,36,34.5,40.6,41.4,39.8
2024-01-01T00:00:00Z,53,53,,84,84,,,,,27.5,27.9,27.1,30.2,30.5,29.9
2024-02-01T00:00:00Z,50,50,,87,87,,,,,25.1,25.8,24.3,27.4,28.1,26.7
2024-03-01T00:00:00Z,51,51,,86,86,,,,,26.9,27.6,26.2,29.7,30.4,28.9
2024-04-01T00:00:00Z,52,52,,83,83,,,,,31.5,30.9,32,35.6,34.9,36.4
2024-05-01T00:00:00Z,60,60,,74,74,,,,,48,48.7,47.3,56.3,57,55.6
2024-06-01T00:00:00Z,63,63,,69,69,,,,,51.3,52.2,50.4,60.9,61.9,59.9
2024-07-01T00:00:00Z,62,62,,69,69,,,,,44.1,46,42.1,52.8,55.1,50.5
2024-08-01T00:00:00Z,62,62,,68,68,,,,,43.5,44.4,42.7,52.2,53.2,51.2
2024-09-01T00:00:00Z,60,60,,70,70,,,,,41.1,42,40.2,49,50.1,47.9
2024-10-01T00:00:00Z,56,56,,74,74,,,,,35,35.6,34.4,40.6,41.3,39.9
2024-11-01T00:00:00Z,55,55,,76,76,,,,,27.9,28.6,27.1,31.2,32,30.3
2024-12-01T00:00:00Z,53,53,,79,79,,,,,27.2,27.1,27.3,30.2,30,30.4
2025-01-01T00:00:00Z,52,52,,82,82,,,,,24.2,23.7,24.6,26.4,25.8,26.9
2025-02-01T00:00:00Z,51,51,,86,86,,,,,23.5,23.9,23.1,25.8,26.1,25.5
2025-03-01T00:00:00Z,49,49,,86,86,,,,,23.4,23.7,23,25.8,26.1,25.5
2025-04-01T00:00:00Z,52,52,,81,81,,,,,27.4,28.2,26.7,30.6,31.4,29.9
2025-05-01T00:00:00Z,57,57,,75,75,,,,,37,40.5,33.4,43.4,47.8,39.1
2025-06-01T00:00:00Z,64,64,,71,71,,,,,34.5,37.8,31.2,40.6,44.6,36.6
2025-07-01T00:00:00Z,61,61,,70,70,,,,,37.2,40.9,33.5,44.3,48.9,39.8
2025-08-01T00:00:00Z,61,61,,69,69,,,,,33.3,37,29.7,39.1,43.7,34.6
2025-09-01T00:00:00Z,59,59,,70,70,,,,,30.5,33,28,35.5,38.5,32.5
2025-10-01T00:00:00Z,56,56,,74,74,,,,,27.7,30.6,24.8,31.8,35.2,28.4
2025-11-01T00:00:00Z,53,53,,77,77,,,,,24.9,26.9,23,28,30.2,25.9
2025-12-01T00:00:00Z,54,54,,78,78,,,,,26.4,28.5,24.2,29.7,32.1,27.3
